iter	Logloss
0	0.6901081127
1	0.6869629682
2	0.6838937846
3	0.681146535
4	0.6782385972
5	0.6753821005
6	0.6726277351
7	0.6697473442
8	0.6670504758
9	0.6645409508
10	0.661959389
11	0.6593878641
12	0.6571058894
13	0.6548926539
14	0.6524761302
15	0.6502142637
16	0.6480735894
17	0.6459712737
18	0.6435903335
19	0.6416548231
20	0.6393594762
21	0.6371445312
22	0.6352481652
23	0.6332713935
24	0.6314886944
25	0.6296079187
26	0.6278421097
27	0.6261686054
28	0.6243642985
29	0.6225803643
30	0.6207479368
31	0.6190911643
32	0.6174996446
33	0.6158171403
34	0.6141499083
35	0.6125956713
36	0.6111283917
37	0.6094642841
38	0.6079077614
39	0.6063623594
40	0.6048053074
41	0.6032037012
42	0.6017237066
43	0.6004468087
44	0.5990141281
45	0.5976519154
46	0.5962520494
47	0.5949650646
48	0.5936564002
49	0.5925099144
50	0.5912925609
51	0.5900594816
52	0.5889763033
53	0.5876790657
54	0.586510315
55	0.5853562104
56	0.5843196248
57	0.5832681502
58	0.5821417236
59	0.5810637315
60	0.5799113841
61	0.5788022259
62	0.5777299803
63	0.5766481677
64	0.5756997908
65	0.5747042042
66	0.5737200029
67	0.5727141426
68	0.5716706482
69	0.5707355082
70	0.5697340034
71	0.5688882924
72	0.5678916487
73	0.5669472658
74	0.5660137927
75	0.5651743161
76	0.564378829
77	0.5635417644
78	0.5627499677
79	0.5618915223
80	0.5610210401
81	0.5601244701
82	0.559249186
83	0.5583799535
84	0.5575735199
85	0.5567393875
86	0.5559120888
87	0.5551792631
88	0.5544751356
89	0.5536756042
90	0.5526877677
91	0.551870545
92	0.5511156919
93	0.5502751346
94	0.5495365474
95	0.5487460076
96	0.5480108192
97	0.5473116598
98	0.5466552016
99	0.5459430025
100	0.5452474643
101	0.5445259307
102	0.5437720356
103	0.5431583126
104	0.5426054352
105	0.5418522316
106	0.5412710889
107	0.5406495115
108	0.5400068495
109	0.5394363717
110	0.5388481121
111	0.5381972408
112	0.537634681
113	0.5369272812
114	0.5362162667
115	0.5356403626
116	0.5351043445
117	0.5345940404
118	0.5339138522
119	0.533251269
120	0.5327726793
121	0.5322862264
122	0.5317153612
123	0.5311499099
124	0.5306812754
125	0.5301612016
126	0.5296773341
127	0.5290909831
128	0.5286317629
129	0.528145256
130	0.527551831
131	0.5269131534
132	0.5264006378
133	0.5259396459
134	0.5254385076
135	0.5249043648
136	0.524325764
137	0.5237952497
138	0.5233537577
139	0.5229479258
140	0.5224389976
141	0.5219715775
142	0.5214341231
143	0.5209904595
144	0.5205594671
145	0.5201420799
146	0.5197178413
147	0.5191823237
148	0.5188182458
149	0.5183739241
150	0.517909812
151	0.5174230549
152	0.5169855841
153	0.5164283173
154	0.5159726799
155	0.5155066977
156	0.5150403992
157	0.514609115
158	0.5141438367
159	0.5136783077
160	0.5132306699
161	0.5127515886
162	0.5123021918
163	0.5118260343
164	0.5114387925
165	0.511109122
166	0.5106518485
167	0.5102061027
168	0.5097993893
169	0.5094862734
170	0.5090434038
171	0.5086100127
172	0.5081811946
173	0.5078245657
174	0.5075163672
175	0.5071784887
176	0.5068122346
177	0.5064344389
178	0.5059749798
179	0.5056063532
180	0.5052851125
181	0.5049216127
182	0.5045694893
183	0.5042149156
184	0.5038606362
185	0.5035029064
186	0.5030859437
187	0.5027573571
188	0.5023207523
189	0.5019679316
190	0.5015924984
191	0.5011672848
192	0.5008528532
193	0.5005642591
194	0.5001626119
195	0.499860849
196	0.499578393
197	0.4992532148
198	0.4989008141
199	0.4986290854
