iter	Passed	Remaining
0	4	801
1	7	778
2	12	792
3	15	780
4	19	774
5	23	765
6	27	764
7	31	758
8	35	754
9	39	747
10	43	745
11	47	740
12	51	737
13	55	731
14	59	728
15	62	723
16	66	719
17	70	714
18	74	706
19	77	701
20	81	693
21	84	682
22	87	672
23	90	663
24	94	658
25	97	649
26	100	641
27	103	634
28	106	626
29	109	621
30	112	614
31	115	607
32	118	600
33	121	594
34	124	588
35	127	582
36	131	577
37	134	571
38	137	565
39	140	560
40	143	555
41	146	550
42	149	545
43	152	540
44	155	535
45	158	531
46	161	526
47	164	521
48	167	517
49	170	512
50	174	508
51	177	504
52	180	499
53	183	495
54	186	490
55	189	486
56	192	482
57	195	478
58	198	474
59	201	470
60	204	466
61	207	462
62	210	458
63	213	454
64	217	450
65	220	446
66	223	443
67	226	439
68	229	435
69	232	431
70	235	427
71	238	423
72	241	420
73	244	416
74	247	412
75	250	408
76	253	404
77	256	401
78	259	398
79	262	394
80	265	390
81	270	389
82	273	386
83	276	382
84	279	378
85	282	375
86	285	371
87	289	368
88	292	364
89	295	360
90	298	357
91	301	353
92	304	350
93	307	346
94	310	343
95	313	339
96	316	336
97	319	332
98	322	329
99	325	325
100	328	322
101	331	318
102	334	315
103	338	312
104	341	308
105	344	305
106	347	301
107	350	298
108	353	295
109	356	291
110	359	288
111	362	285
112	365	281
113	368	278
114	372	275
115	375	271
116	378	268
117	381	264
118	384	261
119	387	258
120	390	254
121	393	251
122	396	248
123	399	245
124	403	241
125	406	238
126	409	235
127	412	231
128	415	228
129	418	225
130	421	222
131	424	218
132	427	215
133	430	212
134	433	208
135	437	205
136	440	202
137	443	199
138	446	195
139	449	192
140	452	189
141	455	186
142	458	182
143	461	179
144	464	176
145	467	173
146	470	169
147	473	166
148	476	163
149	479	159
150	482	156
151	486	153
152	489	150
153	492	147
154	495	143
155	498	140
156	501	137
157	504	134
158	507	130
159	510	127
160	513	124
161	517	121
162	520	118
163	523	114
164	526	111
165	529	108
166	532	105
167	535	101
168	538	98
169	541	95
170	544	92
171	547	89
172	551	86
173	554	82
174	557	79
175	560	76
176	563	73
177	566	70
178	569	66
179	572	63
180	575	60
181	578	57
182	581	54
183	585	50
184	588	47
185	591	44
186	594	41
187	597	38
188	601	35
189	604	31
190	608	28
191	611	25
192	614	22
193	618	19
194	621	15
195	624	12
196	627	9
197	630	6
198	634	3
199	637	0
