BTC_T,BTC_H,BTC_S,BTC_D
176,94,157,19
226,113,208,18
195,103,176,19
196,104,177,19
196,102,175,21
191,102,173,18
197,103,176,21
233,124,213,20
240,129,216,24
238,127,214,24
182,108,170,12
204,116,188,16
248,147,233,15
185,106,171,14
208,110,191,17
205,119,192,13
215,117,195,20
216,129,204,12
194,103,173,21
195,109,178,17
219,122,201,18
235,133,219,16
226,129,208,18
248,143,229,19
210,121,194,16
207,114,189,18
208,118,192,16
213,120,196,17
207,114,189,18
207,114,189,18
205,113,187,18
204,116,189,15
219,122,201,18
205,113,187,18
211,118,193,18
215,120,197,18
216,120,198,18
242,138,224,18
193,114,180,13
188,109,175,13
230,129,211,19
256,133,229,27
257,149,238,19
213,129,201,12
217,131,205,12
248,149,235,13
226,122,205,21
236,134,217,19
229,135,215,14
275,154,254,21
267,152,249,18
245,133,225,20
250,135,229,21
237,131,216,21
235,132,217,18
243,133,223,20
217,119,199,18
217,122,201,16
226,126,206,20
227,128,210,17
210,109,186,24
270,147,246,24
254,147,235,19
250,142,228,22
242,136,220,22
240,138,221,19
255,143,232,23
245,139,224,21
226,130,207,19
255,141,229,26
251,143,229,22
249,145,230,19
246,140,226,20
235,132,213,22
231,132,212,19
222,130,206,16
225,132,209,16
229,134,213,16
221,130,205,16
229,132,210,19
237,130,213,24
224,130,207,17
278,147,248,30
224,132,208,16
236,132,215,21
233,132,213,20
246,142,227,19
247,142,228,19
250,144,231,19
250,144,231,19
257,149,238,19
243,139,223,20
229,134,213,16
241,142,225,16
241,142,225,16
237,138,220,17
251,147,234,17
241,142,225,16
234,136,217,17
240,138,221,19
238,140,222,16
240,140,223,17
240,140,223,17
238,138,221,17
246,142,227,19
242,140,223,19
238,140,222,16
240,140,223,17
260,153,243,17
238,133,216,22
254,142,231,23
252,144,232,20
243,137,222,21
246,143,228,18
238,140,222,16
231,135,215,16
253,146,234,19
243,140,224,19
231,132,212,19
239,134,217,22
235,138,219,16
230,132,211,19
236,128,211,25
239,138,220,19
232,135,215,17
246,138,225,21
242,132,218,24
231,132,214,17
273,148,250,23
267,145,239,28
243,144,227,16
243,137,222,21
241,139,223,18
236,133,215,21
238,137,220,18
243,137,222,21
238,133,217,21
235,142,222,13
230,125,207,23
193,100,171,22
232,133,212,20
235,133,215,20
240,132,216,24
265,148,243,22
251,140,228,23
224,130,207,17
248,141,229,19
251,144,232,19
263,149,243,20
235,137,218,17
244,143,227,17
259,155,243,16
251,142,230,21
251,142,230,21
256,147,236,20
248,146,232,16
232,139,219,13
235,139,220,15
239,141,224,15
238,139,222,16
306,155,271,35
239,135,219,20
254,140,230,24
257,147,238,19
240,134,219,21
235,139,220,15
243,145,229,14
236,139,221,15
312,160,277,35
274,158,254,20
223,125,207,16
236,132,216,20
306,160,275,31
313,159,278,35
316,157,278,38
227,126,207,20
225,120,203,22
250,130,223,27
281,152,257,24
227,135,214,13
236,139,221,15
237,142,224,13
303,156,268,35
254,139,231,23
249,137,227,22
267,149,244,23
213,108,188,25
254,142,233,21
267,150,244,23
222,116,200,22
243,122,213,30
246,139,224,22
290,156,262,28
298,165,273,25
236,134,216,20
267,154,246,21
273,155,250,23
274,155,251,23
271,155,250,21
290,161,267,23
276,160,256,20
270,143,244,26
300,171,280,20
237,133,218,19
258,139,231,27
255,138,229,26
248,133,222,26
223,132,208,15
257,145,235,22
257,146,236,21
248,146,232,16
265,153,245,20
275,157,254,21
267,153,247,20
271,155,251,20
279,163,260,19
248,149,234,14
261,154,243,18
259,156,244,15
266,160,251,15
246,146,231,15
277,156,255,22
266,153,246,20
292,165,268,24
264,152,244,20
269,157,250,19
269,155,250,19
250,144,232,18
282,158,256,26
270,164,256,14
310,190,296,14
278,163,260,18
272,154,249,23
262,152,243,19
261,152,242,19
269,159,252,17
256,138,233,23
256,139,236,20
295,158,269,26
272,137,248,24
267,137,246,21
274,142,254,20
264,151,244,20
261,149,241,20
267,153,247,20
273,136,247,26
304,169,280,24
265,156,249,16
232,129,211,21
252,136,230,22
269,146,246,23
253,135,227,26
234,129,213,21
265,155,246,19
270,152,246,24
268,154,247,21
295,164,268,27
323,168,287,36
276,163,258,18
240,141,223,17
268,156,248,20
264,156,247,17
276,166,261,15
280,169,264,16
292,168,271,21
289,167,269,20
251,142,232,19
309,179,287,22
302,175,280,22
307,179,285,22
309,179,287,22
306,177,284,22
281,165,262,19
292,163,269,23
302,158,272,30
245,137,224,21
292,161,267,25
303,166,277,26
260,149,241,19
304,165,278,26
290,159,264,26
272,149,247,25
290,156,266,24
296,162,266,30
301,163,270,31
297,162,267,30
300,176,280,20
306,180,286,20
297,174,277,20
303,172,282,21
298,161,269,29
282,163,261,21
298,159,272,26
296,156,269,27
317,171,289,28
305,163,277,28
275,152,252,23
303,171,275,28
293,167,268,25
283,163,261,22
270,153,248,22
302,174,278,24
291,171,271,20
273,157,252,21
309,166,277,32
294,168,272,22
275,161,256,19
281,165,262,19
273,159,254,19
306,164,278,28
277,162,257,20
277,162,257,20
274,160,254,20
