BTC_T,BTC_H,BTC_S,BTC_D
182,100,165,17
179,100,164,15
187,100,170,17
188,106,173,15
201,107,180,21
197,111,182,15
175,93,159,16
194,104,177,17
196,105,177,19
198,106,179,19
233,124,213,20
187,102,173,14
184,102,169,15
197,105,178,19
204,115,189,15
192,103,177,15
216,129,204,12
177,102,165,12
198,106,182,16
214,113,192,22
236,123,213,23
186,110,173,13
221,117,199,22
210,116,192,18
206,113,190,16
225,121,203,22
205,116,189,16
228,134,214,14
208,117,192,16
176,95,160,16
222,117,200,22
233,123,208,25
234,135,218,16
229,111,200,29
224,114,199,25
204,112,185,19
208,119,193,15
186,107,173,13
238,125,214,24
224,118,204,20
185,101,169,16
217,131,205,12
202,106,184,18
219,123,200,19
193,109,177,16
225,131,211,14
234,119,208,26
217,119,199,18
233,134,216,17
193,114,180,13
184,103,168,16
215,112,191,24
214,116,195,19
193,106,175,18
198,114,184,14
216,123,201,15
183,94,162,21
186,109,173,13
215,113,194,21
200,115,187,13
213,129,201,12
229,119,206,23
193,114,180,13
239,135,222,17
210,119,196,14
229,133,214,15
246,142,227,19
238,140,222,16
236,139,221,15
235,127,212,23
192,102,174,18
205,108,187,18
196,103,175,21
248,132,225,23
255,140,234,21
224,122,204,20
237,130,218,19
246,130,221,25
226,116,198,28
240,140,223,17
251,143,232,19
236,133,215,21
211,115,190,21
237,118,210,27
242,140,223,19
230,119,204,26
262,146,240,22
255,138,233,22
235,139,220,15
236,127,213,23
249,145,230,19
238,140,222,16
218,118,197,21
255,148,238,17
261,138,236,25
250,144,231,19
267,145,239,28
193,100,171,22
241,127,215,26
204,102,180,24
239,132,221,18
224,124,206,18
220,118,199,21
223,122,206,17
231,122,208,23
241,142,225,16
220,119,203,17
230,125,207,23
216,121,199,17
228,121,203,25
237,120,208,29
251,139,230,21
246,142,227,19
238,139,222,16
252,132,227,25
240,129,216,24
216,120,198,18
241,142,225,16
200,108,180,20
204,120,191,13
225,123,205,20
254,147,235,19
237,142,224,13
227,125,205,22
233,132,213,20
254,132,228,26
216,121,198,18
250,144,231,19
222,127,206,16
255,139,231,24
260,145,238,22
255,132,228,27
243,137,222,21
240,131,219,21
263,149,243,20
245,133,223,22
216,126,201,15
247,130,221,26
261,136,236,25
247,131,224,23
171,95,158,13
241,139,223,18
