ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
28.11,14.05,51.35,6.49,0.0
22.42,16.97,50.3,6.67,3.64
28.22,13.86,50.99,6.44,0.5
28.08,13.3,51.23,6.9,0.49
29.06,14.29,50.25,5.91,0.49
27.64,14.57,51.26,6.03,0.5
28.92,13.73,50.49,6.37,0.49
28.11,11.06,53.0,6.45,1.38
27.31,10.04,52.21,10.04,0.4
27.64,10.16,52.03,10.16,0.0
25.39,12.44,55.96,6.22,0.0
27.1,11.68,54.67,6.54,0.0
27.52,8.53,57.36,6.59,0.0
24.62,11.79,54.36,9.23,0.0
25.39,13.99,51.81,7.25,1.55
26.17,11.21,55.61,7.01,0.0
28.38,10.81,52.7,7.66,0.45
25.55,11.01,56.83,6.61,0.0
29.06,13.79,51.23,5.42,0.49
26.21,13.11,53.4,7.28,0.0
27.07,12.23,53.71,6.99,0.0
27.16,11.21,55.17,6.03,0.43
28.39,11.02,55.08,5.51,0.0
28.4,9.34,55.64,6.61,0.0
26.82,11.36,55.0,6.82,0.0
26.73,12.9,53.0,7.37,0.0
26.48,12.79,54.34,6.39,0.0
26.91,11.66,54.26,7.17,0.0
26.73,12.9,53.0,7.37,0.0
26.73,12.9,53.0,7.37,0.0
26.98,13.02,53.02,6.98,0.0
25.7,12.62,54.21,7.48,0.0
27.07,12.23,53.71,6.99,0.0
26.98,13.02,53.02,6.98,0.0
26.58,12.61,53.6,7.21,0.0
27.11,12.0,53.78,7.11,0.0
26.99,12.39,53.54,7.08,0.0
27.38,9.92,55.16,7.14,0.4
25.37,13.17,55.61,5.85,0.0
24.0,14.0,54.5,7.5,0.0
27.08,10.42,54.17,7.92,0.42
30.04,10.27,51.71,7.98,0.0
28.46,8.99,56.18,6.37,0.0
25.78,11.11,57.33,5.78,0.0
25.76,11.35,57.21,5.68,0.0
26.25,9.65,57.53,6.56,0.0
27.23,13.39,52.23,6.7,0.45
27.64,10.16,54.88,7.32,0.0
25.42,10.42,56.25,7.92,0.0
25.95,9.16,54.96,9.16,0.76
24.71,9.41,55.69,9.41,0.78
27.51,10.48,53.71,7.42,0.87
27.97,11.02,53.81,6.36,0.85
26.72,11.74,53.04,8.5,0.0
